sentence_idx,word,tag
1,Taking,B-ACT
1,Off,I-ACT
2,Taking,B-ACT
2,Off,I-ACT
3,Taking,B-ACT
3,Off,I-ACT
4,Taking,B-ACT
4,Off,I-ACT
5,Home,B-PAR
5,Point,I-PAR
5,Recorded,B-ACT
5,RTH,B-PAR
5,Altitude,I-PAR
5,30m,O
6,Home,B-PAR
6,Point,I-PAR
6,Recorded,B-ACT
6,RTH,B-PAR
6,Altitude,I-PAR
6,30m,O
7,Camera,B-CMP
7,Settings,B-FNC
7,Adjusted,O
7,to,O
7,ActiveTrack,O
8,Your,O
8,palm,O
8,is,O
8,too,O
8,far,O
8,away,O
8,from,O
8,the,O
8,aircraft,B-CMP
8,Please,O
8,step,O
8,closer,O
9,Your,O
9,palm,O
9,is,O
9,too,O
9,far,O
9,away,O
9,from,O
9,the,O
9,aircraft,B-CMP
9,Please,O
9,step,O
9,closer,O
10,Your,O
10,palm,O
10,is,O
10,too,O
10,close,O
10,to,O
10,the,O
10,aircraft,B-CMP
10,Please,O
10,step,O
10,farther,O
10,away,O
11,Palm,B-FNC
11,Control,I-FNC
11,in,O
11,Process,O
12,Palm,B-FNC
12,Control,I-FNC
12,in,O
12,Process,O
13,Your,O
13,palm,O
13,is,O
13,too,O
13,close,O
13,to,O
13,the,O
13,aircraft,B-CMP
13,Please,O
13,step,O
13,farther,O
13,away,O
14,Your,O
14,palm,O
14,is,O
14,too,O
14,far,O
14,away,O
14,from,O
14,the,O
14,aircraft,B-CMP
14,Please,O
14,step,O
14,closer,O
15,Your,O
15,palm,O
15,is,O
15,too,O
15,close,O
15,to,O
15,the,O
15,aircraft,B-CMP
15,Please,O
15,step,O
15,farther,O
15,away,O
16,Palm,B-FNC
16,Control,I-FNC
16,in,O
16,Process,O
17,Palm,B-FNC
17,Control,I-FNC
17,in,O
17,Process,O
18,Palm,B-FNC
18,Control,I-FNC
18,in,O
18,Process,O
19,Palm,B-FNC
19,Control,I-FNC
19,in,O
19,Process,O
20,Camera,B-CMP
20,Settings,B-FNC
20,Adjusted,O
20,to,O
20,ActiveTrack,O
21,Drag,O
21,a,O
21,box,O
21,around,O
21,or,O
21,tap,O
21,a,O
21,target,O
21,on,O
21,screen,O
21,Then,O
21,tap,O
21,Go,O
22,Camera,B-CMP
22,Settings,B-FNC
22,Adjusted,O
22,to,O
22,ActiveTrack,O
23,Drag,O
23,a,O
23,box,O
23,around,O
23,or,O
23,tap,O
23,a,O
23,target,O
23,on,O
23,screen,O
23,Then,O
23,tap,O
23,Go,O
24,Can,O
24,not,O
24,Identify,O
24,Subject,O
25,Taking,B-ACT
25,Off,I-ACT
26,Taking,B-ACT
26,Off,I-ACT
27,Compass,B-CMP
27,Interference,B-ISS
27,Temp,O
27,Max,B-ISS
27,Altitude,I-PAR
27,98ft,O
28,Taking,B-ACT
28,Off,I-ACT
29,Taking,B-ACT
29,Off,I-ACT
30,Taking,B-ACT
30,Off,I-ACT
31,Taking,B-ACT
31,Off,I-ACT
32,Taking,B-ACT
32,Off,I-ACT
33,Taking,B-ACT
33,Off,I-ACT
34,Home,B-PAR
34,Point,I-PAR
34,Recorded,B-ACT
34,RTH,B-PAR
34,Altitude,I-PAR
34,Ã,O
34,30m,O
35,Home,B-PAR
35,Point,I-PAR
35,Recorded,B-ACT
35,RTH,B-PAR
35,Altitude,I-PAR
35,30m,O
36,Obstacle,B-FNC
36,Avoidance,I-FNC
36,will,O
36,be,O
36,disabled,O
36,in,O
36,landing,B-ACT
37,Taking,B-ACT
37,Off,I-ACT
38,Taking,B-ACT
38,Off,I-ACT
39,Home,B-PAR
39,Point,I-PAR
39,Recorded,B-ACT
39,RTH,B-PAR
39,Altitude,I-PAR
39,Ã,O
39,30m,O
40,Obstacle,O
40,Avoided,B-ACT
40,Revise,O
40,Flight,O
40,Route,O
41,Taking,B-ACT
41,Off,I-ACT
42,Max,B-ISS
42,Flight,I-ISS
42,Altitude,I-PAR
42,Reached,O
42,Adjust,O
42,in,O
42,Main,O
42,Controller,B-CMP
42,Settings,B-FNC
42,if,O
42,necessary,O
43,Compass,B-CMP
43,Error,O
43,Exit,O
43,Mode,O
44,Landing,B-ACT
45,Data,O
45,Recorder,O
45,File,O
45,Index,O
45,is,O
45,29,O
46,Home,B-PAR
46,Point,I-PAR
46,Updated,O
47,Taking,B-ACT
47,Off,I-ACT
48,Aircraft,B-CMP
48,is,O
48,returning,B-ACT
48,to,O
48,the,O
48,Home,B-PAR
48,Point,I-PAR
48,RTH,B-PAR
48,Altitude,I-PAR
48,is,O
48,30m,O
48,You,O
48,can,O
48,reset,O
48,the,O
48,RTH,B-PAR
48,Altitude,I-PAR
48,in,O
48,Remote,O
48,Controller,B-CMP
48,Settings,B-FNC
48,after,O
48,cancelling,O
48,RTH,B-ACT
48,if,O
48,necessary,O
49,Landing,B-CMP
49,Gear,I-CMP
49,Raising,B-ACT
50,Landing,B-CMP
50,Gear,I-CMP
50,Raised,B-ACT
51,Command,O
51,Timeout,O
52,Low,B-ISS
52,Power,I-ISS
52,Aircraft,B-CMP
52,is,O
52,returning,B-ACT
52,to,O
52,the,O
52,Home,B-PAR
52,Point,I-PAR
53,Low,B-ISS
53,Power,I-ISS
53,Aircraft,B-CMP
53,is,O
53,returning,B-ACT
53,to,O
53,the,O
53,Home,B-PAR
53,Point,I-PAR
54,Landing,B-CMP
54,Gear,I-CMP
54,Lowering,B-ACT
55,Landing,B-CMP
55,Gear,I-CMP
55,Lowered,B-ACT
56,Home,B-PAR
56,Point,I-PAR
56,Recorded,B-ACT
56,RTH,B-PAR
56,Altitude,I-PAR
56,30m,O
57,Landing,B-CMP
57,gear,I-CMP
57,Avoidance,O
57,Disabled,O
58,Aircraft,B-CMP
58,is,O
58,returning,B-ACT
58,to,O
58,the,O
58,Home,B-PAR
58,Point,I-PAR
58,Minimum,O
58,RTH,B-PAR
58,Altitude,I-PAR
58,is,O
58,30m,O
58,You,O
58,can,O
58,reset,O
58,the,O
58,RTH,B-PAR
58,Altitude,I-PAR
58,in,O
58,Remote,O
58,Controller,B-CMP
58,Settings,B-FNC
58,after,O
58,cancelling,O
58,RTH,B-ACT
59,Obstacle,B-FNC
59,Avoidance,I-FNC
59,will,O
59,be,O
59,disabled,O
59,in,O
59,landing,B-ACT
60,Landing,B-CMP
60,gear,I-CMP
60,Avoidance,O
60,Disabled,O
61,Landing,B-FNC
61,Protection,I-FNC
61,Activated,O
61,Aircraft,B-CMP
61,will,O
61,decelerate,O
61,during,O
61,landing,B-ACT
62,Ground,O
62,Plain,O
62,Safe,O
62,to,O
62,Land,O
63,Taking,B-ACT
63,Off,I-ACT
64,Taking,B-ACT
64,Off,I-ACT
65,Home,B-PAR
65,Point,I-PAR
65,Recorded,B-ACT
65,RTH,B-PAR
65,Altitude,I-PAR
65,30m,O
66,Fly,O
66,with,O
66,caution,O
66,and,O
66,ensure,O
66,the,O
66,aircraft,B-CMP
66,remains,O
66,within,O
66,your,O
66,line,O
66,of,O
66,sight,O
67,Fly,O
67,with,O
67,caution,O
67,and,O
67,ensure,O
67,the,O
67,aircraft,B-CMP
67,remains,O
67,within,O
67,your,O
67,line,O
67,of,O
67,sight,O
68,Image,O
68,Transmission,O
68,Recovered,O
68,Aircraft,B-CMP
68,is,O
68,returning,B-ACT
68,home,B-PAR
69,Obstacle,B-FNC
69,Avoidance,I-FNC
69,will,O
69,be,O
69,disabled,O
69,in,O
69,landing,B-ACT
